"Rank","Program id","HLO op category","HLO op name","HLO op text","Framework op name","#Occurrences","Total time (us)","Avg. time (us)","Total self time (us)","Avg. self time (us)","Total self time (%)","Cumulative total self time (%)","%time stalled by DMA","Model GFLOP/s","Normalized GFLOP/s","Measured memory BW (GiB/s)","HBM BW (GiB/s)","CMEM Read BW (GiB/s)","CMEM Write BW (GiB/s)","Operational intensity (FLOPS/Byte)","Bound by","Rematerialization","Outside Compilation","Autotuned","Source Info"
"348.0","29","loop fusion","loop_add_fusion.14","%loop_add_fusion.14 = s64[] fusion(s64[] %get-tuple-element.6787), kind=kLoop, calls=%fused_add.14","jit(evolve_background)/jit(main)/jit(searchsorted)/while/body/add:","10.0","9.184","0.9183999999999999","9.184","0.9183999999999999","0.0002469086832565589","34.91606184188228","0.0","0.0032665505226480837","0.0032665505226480837","0.016225131961942134","0.016225131961942134","0.0","0.0","0.1875","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:171:20
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:233:12
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:38:0
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"349.0","29","data formatting","copy.298","%copy.298 = s32[] copy(s32[] %get-tuple-element.6792)","","10.0","9.088","0.9087999999999999","9.088","0.9087999999999999","0.00024432775625387714","34.91630616963853","0.0","0.0","0.0","0.008198262100488367","0.008198262100488367","0.0","0.0","0.0","HBM","No","No","No",""
"350.0","29","loop fusion","loop_add_fusion.16","%loop_add_fusion.16 = s64[] fusion(s64[] %get-tuple-element.7447), kind=kLoop, calls=%fused_add.16","jit(evolve_background)/jit(main)/jit(searchsorted)/while/body/add:","11.0","8.96","0.8145454545454546","8.96","0.8145454545454546","0.00024088652025030144","34.916547056158784","0.0","0.003683035714285714","0.003683035714285714","0.018293836287089756","0.018293836287089756","0.0","0.0","0.1875","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:311:21
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:43:13
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"351.0","29","loop fusion","loop_add_fusion.13","%loop_add_fusion.13 = s64[] fusion(s64[] %get-tuple-element.7421), kind=kLoop, calls=%fused_add.13","jit(evolve_background)/jit(main)/jit(searchsorted)/vmap(while)/body/add:","11.0","8.864","0.8058181818181819","8.864","0.8058181818181819","0.00023830559324761964","34.916785361752034","0.0","0.0037229241877256318","0.0037229241877256318","0.018491964477924665","0.018491964477924665","0.0","0.0","0.1875","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:313:59
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:43:13
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"352.0","29","loop fusion","loop_add_fusion.5","%loop_add_fusion.5 = s64[] fusion(s64[] %get-tuple-element.7583), kind=kLoop, calls=%fused_add.5","jit(evolve_background)/jit(main)/jit(searchsorted)/while/body/add:","11.0","8.832","0.802909090909091","8.832","0.802909090909091","0.00023744528424672569","34.91702280703628","0.0","0.003736413043478261","0.003736413043478261","0.01855896434922149","0.01855896434922149","0.0","0.0","0.1875","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:170:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:323:26
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:43:13
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:170</div>"
"353.0","29","loop fusion","loop_add_fusion.15","%loop_add_fusion.15 = s64[] fusion(s64[] %get-tuple-element.7435), kind=kLoop, calls=%fused_add.15","jit(evolve_background)/jit(main)/jit(searchsorted)/while/body/add:","11.0","8.8","0.8","8.8","0.8","0.00023658497524583176","34.91725939201152","0.0","0.00375","0.00375","0.01862645149230957","0.01862645149230957","0.0","0.0","0.1875","HBM","No","No","No","<div class='source-info-cell' title='/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143:23
/home/lawrence/git/DISCO-EB/src/discoeb/background.py:311:21
/home/lawrence/git/DISCO-EB/scripts/profile_background.py:43:13
'>/home/lawrence/git/DISCO-EB/src/discoeb/spline_interpolation.py:143</div>"
"354.0","29","data formatting","copy.639","%copy.639 = s32[] copy(s32[] %get-tuple-element.7441)","","11.0","8.768","0.7970909090909092","8.768","0.7970909090909092","0.00023572466624493784","34.91749511667777","0.0","0.0","0.0","0.00934721562114075","0.00934721562114075","0.0","0.0","0.0","HBM","No","No","No",""
"355.0","29","data formatting","copy.647","%copy.647 = s32[] copy(s32[] %get-tuple-element.7452)","","11.0","8.768","0.7970909090909092","8.768","0.7970909090909092","0.00023572466624493784","34.91773084134402","0.0","0.0","0.0","0.00934721562114075","0.00934721562114075","0.0","0.0","0.0","HBM","No","No","No",""
"356.0","29","data formatting","copy.638","%copy.638 = s32[] copy(s32[] %get-tuple-element.7440)","","11.0","8.736","0.7941818181818182","8.736","0.7941818181818182","0.00023486435724404388","34.91796570570126","0.0","0.0","0.0","0.009381454506199875","0.009381454506199875","0.0","0.0","0.0","HBM","No","No","No",""
"357.0","29","data formatting","copy.648","%copy.648 = s32[] copy(s32[] %get-tuple-element.7453)","","11.0","8.704","0.7912727272727273","8.704","0.7912727272727273","0.00023400404824314996","34.91819970974951","0.0","0.0","0.0","0.009415945147766787","0.009415945147766787","0.0","0.0","0.0","HBM","No","No","No",""
