"Rank","Kernel Name","Registers per thread","Shared Mem bytes","Block dim","Grid dim","Theoretical Occupancy %","Op is TensorCore eligible","Kernel uses TensorCore","Op Name","Occurrences","Total Duration (μs)","Avg Duration (μs)","Min Duration (μs)","Max Duration (μs)"
"207.0","loop_broadcast_fusion_22","16.0","0.0","128,1,1","4,1,1","100.0","False","False","","1.0","0.896","0.896","0.896","0.896"
"208.0","loop_multiply_fusion_10","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","0.896","0.896","0.896","0.896"
"209.0","loop_multiply_fusion_13","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","0.864","0.864","0.864","0.864"
"210.0","wrapped_slice","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","0.864","0.864","0.864","0.864"
"211.0","copy_fusion_4","16.0","0.0","128,1,1","8,1,1","100.0","False","False","","1.0","0.832","0.832","0.832","0.832"
"212.0","copy_info_kernel(int, int*)","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(evolve_background)/jit(main)/vmap(jit(eigh))/eigh:","1.0","0.832","0.832","0.832","0.832"
"213.0","loop_multiply_fusion_11","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","0.832","0.832","0.832","0.832"
"214.0","loop_multiply_fusion_12","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","0.832","0.832","0.832","0.832"
"215.0","input_slice_fusion","16.0","0.0","128,1,1","24,1,1","100.0","False","False","","1.0","0.8","0.8","0.8","0.8"
"216.0","void pegasus_set_identy<128>(int, int*)","16.0","0.0","128,1,1","1,1,1","100.0","False","False","jit(evolve_background)/jit(main)/vmap(jit(eigh))/eigh:","1.0","0.8","0.8","0.8","0.8"
"217.0","loop_broadcast_fusion_23","16.0","0.0","128,1,1","48,1,1","100.0","False","False","","1.0","0.768","0.768","0.768","0.768"
"218.0","wrapped_slice_11","16.0","0.0","128,1,1","8,1,1","100.0","False","False","","1.0","0.768","0.768","0.768","0.768"
"219.0","wrapped_slice_12","16.0","0.0","128,1,1","8,1,1","100.0","False","False","","1.0","0.768","0.768","0.768","0.768"
