"Rank","Kernel Name","Registers per thread","Shared Mem bytes","Block dim","Grid dim","Theoretical Occupancy %","Op is TensorCore eligible","Kernel uses TensorCore","Op Name","Occurrences","Total Duration (μs)","Avg Duration (μs)","Min Duration (μs)","Max Duration (μs)"
"103.0","loop_multiply_fusion_16","27.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","2220.0","4434.901","1.997","1.983","2.144"
"104.0","loop_divide_multiply_fusion","65.0","0.0","32,1,1","1,1,1","50.0","False","False","XlaModule","463.0","4368.096","9.434","4.512","9.792"
"105.0","loop_add_fusion_121","34.0","0.0","3,1,1","1,1,1","4.6875","False","False","XlaModule","2220.0","4236.322","1.908","1.887","2.016"
"106.0","loop_slice_fusion_4","16.0","0.0","6,1,1","1,1,1","9.375","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/slice:","5115.0","4231.216","0.827","0.799","0.865"
"107.0","loop_dynamic_update_slice_fusion_172","26.0","0.0","128,1,1","4,1,1","100.0","False","False","XlaModule","2315.0","4062.212","1.754","1.503","1.984"
"108.0","loop_transpose_fusion_17","16.0","0.0","128,1,1","32,1,1","100.0","False","False","XlaModule","4630.0","4048.19","0.874","0.8","1.6"
"109.0","loop_divide_fusion_25","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","4440.0","4011.229","0.903","0.863","1.024"
"110.0","loop_select_fusion_7","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/while/body/closed_call/jit(_where)/select_n:","4096.0","3998.468","0.976","0.959","1.248"
"111.0","input_reduce_fusion","42.0","0.0","32,1,1","1,1,1","50.0","False","False","XlaModule","1023.0","3893.789","3.806","3.775","3.936"
"112.0","input_transpose_fusion_10","28.0","8448.0","128,1,1","48,1,1","100.0","False","False","XlaModule","3241.0","3886.487","1.199","0.992","1.472"
"113.0","input_reduce_fusion_1","42.0","0.0","16,1,1","1,1,1","25.0","False","False","XlaModule","1023.0","3846.114","3.759","3.743","3.84"
"114.0","input_reduce_fusion_2","42.0","0.0","8,1,1","1,1,1","12.5","False","False","XlaModule","1023.0","3826.84","3.74","3.711","3.84"
"115.0","input_scatter_fusion_14","16.0","0.0","128,1,1","44,1,1","100.0","False","False","XlaModule","3704.0","3822.773","1.032","0.959","1.632"
"116.0","input_reduce_fusion_3","42.0","0.0","4,1,1","1,1,1","6.25","False","False","XlaModule","1023.0","3788.915","3.703","3.679","3.808"
"117.0","input_reduce_fusion_4","42.0","0.0","2,1,1","1,1,1","3.125","False","False","XlaModule","1023.0","3766.585","3.681","3.647","3.872"
"118.0","input_scatter_fusion_4","16.0","0.0","128,1,1","32,1,1","100.0","False","False","XlaModule","3704.0","3759.066","1.014","0.928","1.664"
"119.0","loop_divide_fusion_16","46.0","0.0","3,1,1","1,1,1","4.6875","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/div:","2122.0","3718.989","1.752","1.727","1.761"
"120.0","input_scatter_fusion_25","16.0","0.0","128,1,1","32,1,1","100.0","False","False","XlaModule","3704.0","3700.955","0.999","0.928","1.504"
"121.0","loop_dynamic_update_slice_fusion_167","25.0","0.0","128,1,1","4,1,1","100.0","False","False","XlaModule","2315.0","3695.292","1.596","1.312","1.824"
"122.0","loop_rsqrt_fusion_5","26.0","0.0","128,1,1","12,1,1","100.0","False","False","XlaModule","2315.0","3589.654","1.55","1.152","1.728"
"123.0","loop_log_fusion_13","20.0","0.0","128,1,1","4,1,1","100.0","False","False","XlaModule","2315.0","3582.876","1.547","1.504","1.792"
"124.0","loop_dynamic_update_slice_fusion_214","20.0","0.0","128,1,1","288,1,1","100.0","False","False","XlaModule","2315.0","3532.447","1.525","1.503","1.76"
"125.0","loop_dynamic_update_slice_fusion_213","20.0","0.0","128,1,1","288,1,1","100.0","False","False","XlaModule","2315.0","3531.321","1.525","1.503","1.696"
"126.0","loop_transpose_fusion_16","30.0","1024.0","32,1,1","64,1,1","50.0","False","False","XlaModule","3704.0","3338.739","0.901","0.831","1.504"
"127.0","input_reduce_fusion_15","40.0","0.0","256,1,1","4,1,1","100.0","False","False","XlaModule","463.0","3328.44","7.188","5.216","7.904"
"128.0","loop_add_subtract_fusion_19","28.0","0.0","128,1,1","160084,1,1","100.0","False","False","XlaModule","1.0","2880.08","2880.08","2880.08","2880.08"
"129.0","void ipiv_lower_small<double, 32>(int, void*, int, long*, int, int)","20.0","128.0","32,1,1","3,1,1","50.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_factor)/lu:","2122.0","2833.037","1.335","1.311","1.345"
"130.0","loop_and_fusion_2","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/cond/and:","3127.0","2678.773","0.856","0.831","0.992"
"131.0","loop_log_fusion_7","20.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","2220.0","2668.174","1.201","1.183","1.376"
"132.0","loop_and_select_fusion","30.0","0.0","32,1,1","1,1,1","50.0","False","False","XlaModule","2128.0","2622.948","1.232","1.152","1.504"
"133.0","jax::cuda::(anonymous namespace)::LuPivotsToPermutationKernel(int const*, int*, long, int, int)","32.0","0.0","128,1,1","1,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(lu_solve)/lu_pivots_to_permutation:","2122.0","2602.936","1.226","1.184","1.249"
"134.0","loop_select_fusion_117","26.0","0.0","3,1,1","1,1,1","4.6875","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jit(_where)/select_n:","2122.0","2502.982","1.179","1.151","1.216"
"135.0","loop_divide_fusion_24","23.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","2220.0","2409.742","1.085","1.055","1.216"
"136.0","loop_divide_fusion_19","23.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","2220.0","2407.274","1.084","1.055","1.28"
"137.0","loop_dynamic_update_slice_fusion_173","22.0","0.0","128,1,1","4,1,1","100.0","False","False","XlaModule","2315.0","2399.54","1.036","0.992","1.184"
"138.0","loop_subtract_fusion_7","24.0","0.0","128,1,1","44,1,1","100.0","False","False","XlaModule","2315.0","2327.866","1.005","0.96","1.216"
"139.0","loop_multiply_fusion_10","32.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_background)/jit(evaluate_thermo)/while/body/closed_call/cond/branch_0_fun/cond/branch_0_fun/cond/branch_0_fun/jit(diffeqsolve)/outer-loop/while/body/jvp()/mul:","2122.0","2324.212","1.095","1.087","1.121"
"140.0","loop_divide_fusion_28","23.0","0.0","1,1,1","1,1,1","1.5625","False","False","XlaModule","2220.0","2268.185","1.021","0.991","1.184"
"141.0","loop_pad_fusion_5","16.0","0.0","128,1,1","288,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/checkpoint/cond/branch_1_fun/while/body/closed_call/cond/branch_1_fun/vmap()/scatter:","2315.0","2221.292","0.959","0.927","0.993"
