"Rank","Host/device","Operation Type","Operation Name","#Occurrences","Total time (us)","Avg. time (us)","Total self-time (us)","Avg. self-time (us)","Total self-time on Device (%)","Cumulative total-self time on Device (%)","Total self-time on Host (%)","Cumulative total-self time on Host (%)","Normalized FLOP Rate (FLOPs/s)","Model FLOP Rate (GFLOP/s)","Measured Memory BW (GBytes/Sec)","Operational Intensity (FLOPs/Byte)","GPU TensorCore utilization","Bound by","Execution mode"
"32.0","Device","Unknown","call.615","4696.0","14771.568","3.145563884156729","14771.568","3.145563884156729","0.0019191568865740574","0.9657678502968979","0.0","0.0","4021.57243212095","4021.57243212095","158.67247100013392","23.60448014629049","0.0","HBM","Function"
"33.0","Device","Unknown","call.626","3048.0","13633.839","4.473044291338582","13633.839","4.473044291338582","0.0017713404566997873","0.9675391907535977","0.0","0.0","0.0","0.0","9833.083295350627","0.0","0.0","HBM","Function"
"34.0","Device","lu_pivots_to_permutation","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_solve))/lu_pivots_to_permutation","587.0","13209.536","22.503468483816015","13209.536","22.503468483816015","0.0017162140121379078","0.9692554047657357","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Unknown","Function"
"35.0","Device","dynamic_update_slice","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/while/body/dynamic_update_slice","1024.0","13073.797","12.7673798828125","13073.797","12.7673798828125","0.0016985784817306637","0.9709539832474664","0.0","0.0","0.0","0.0","0.028072609679075464","0.0","0.0","HBM","Function"
"36.0","Device","add","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/add","9392.0","12633.808","1.3451669505962522","12633.808","1.3451669505962522","0.0016414140751242132","0.9725953973225906","0.0","0.0","0.0022302064429030426","0.0022302064429030426","0.011077555233751944","0.1875","0.0","HBM","Function"
"37.0","Device","Unknown","call.621","3016.0","12564.955","4.166099137931035","12564.955","4.166099137931035","0.001632468531285449","0.974227865853876","0.0","0.0","0.0","0.0","10557.554115807266","0.0","0.0","HBM","Function"
"38.0","Device","reduce_or","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/checkpoint/reduce_or","9392.0","12141.955","1.2927975936967633","12141.955","1.2927975936967633","0.001577511375550809","0.9758053772294268","0.0","0.0","5.096698842978746","5.096698842978746","0.1447990299567494","32.78109452736319","0.0","HBM","Function"
"39.0","Device","dynamic_slice","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/while/body/dynamic_slice","1021.0","11757.419","11.515591576885406","11757.419","11.515591576885406","0.0015275515532397555","0.9773329287826666","0.0","0.0","0.01132901702320892","0.01132901702320892","0.02813591813844671","0.375","0.0","HBM","Function"
"40.0","Device","cond","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/checkpoint/cond","9392.0","10328.39","1.0997008091993186","10328.39","1.0997008091993186","0.0013418887416503536","0.978674817524317","0.0","0.0","2539.3552288401193","2539.3552288401193","160299.16762701792","0.014753406924042263","0.0","HBM","Function"
"41.0","Device","convert_element_type","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/checkpoint/convert_element_type","9392.0","9061.54","0.9648147359454856","9061.54","0.9648147359454856","0.001177296607507496","0.9798521141318245","0.0","0.0","0.009328215733749451","0.009328215733749451","0.012548723624268222","0.6923076923076923","0.0","HBM","Function"
"42.0","Device","add","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/checkpoint/cond/branch_1_fun/while/body/add","6032.0","8224.777","1.3635240384615386","8224.777","1.3635240384615386","0.001068582388821953","0.9809206965206464","0.0","0.0","0.0022001812328771952","0.0022001812328771952","0.010928418402260519","0.1875","0.0","HBM","Function"
"43.0","Device","reduce_or","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/reduce_or","6032.0","7765.468","1.287378647214854","7765.468","1.287378647214854","0.0010089078823365585","0.9819296044029829","0.0","0.0","5.118152312262442","5.118152312262442","0.14540853066243964","32.78109452736319","0.0","HBM","Function"
"44.0","Device","Unknown","call.627","6225.0","7121.667","1.144042891566265","7121.667","1.144042891566265","0.0009252637409202062","0.9828548681439031","0.0","0.0","2429.3870627480896","2429.3870627480896","38746.7700692495","0.05839307405423458","0.0","HBM","Function"
"45.0","Device","Unknown","call.619","4109.0","7098.591","1.7275714285714288","7098.591","1.7275714285714288","0.0009222656526797038","0.9837771337965828","0.0","0.0","2852.601008848094","2852.601008848094","378.9493256996102","7.01067803988403","0.0","HBM","Function"
"46.0","Device","Unknown","call.597","4385.0","6986.274","1.5932209806157356","6986.274","1.5932209806157356","0.00090767316364744","0.9846848069602303","0.0","0.0","14.814642969915008","14.814642969915008","0.18471884136546662","74.69303797468355","0.0","HBM","Function"
"47.0","Device","cond","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond","6032.0","6557.186","1.0870666445623343","6557.186","1.0870666445623343","0.0008519250406217537","0.985536732000852","0.0","0.0","2562.7931957397577","2562.7931957397577","81239.52913922592","0.029379628150884227","0.0","HBM","Function"
"48.0","Device","reduce_or","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/reduce_or","6096.0","6216.604","1.019784120734908","6216.604","1.019784120734908","0.0008076758254576517","0.9863444078263096","0.0","0.0","6.461171404837754","6.461171404837754","0.18356418156698534","32.78109452736319","0.0","HBM","Function"
"49.0","Device","mul","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(compute_theta_ell)/mul","1.0","6214.484","6214.484","6214.484","6214.484","0.0008074003900672086","0.9871518082163768","0.0","0.0","21945.901421260398","21945.901421260398","176.80578877629247","115.59979769534733","0.0","HBM","Function"
