"Rank","Kernel Name","Registers per thread","Shared Mem bytes","Block dim","Grid dim","Theoretical Occupancy %","Op is TensorCore eligible","Kernel uses TensorCore","Op Name","Occurrences","Total Duration (μs)","Avg Duration (μs)","Min Duration (μs)","Max Duration (μs)"
"346.0","input_concatenate_fusion_27","30.0","0.0","128,1,1","4,1,1","100.0","False","False","","1.0","4.126","4.126","4.126","4.126"
"347.0","input_reduce_fusion_58","44.0","0.0","16,1,1","1,1,1","25.0","False","False","","1.0","4.094","4.094","4.094","4.094"
"348.0","loop_clamp_fusion_1","22.0","0.0","128,1,1","128,1,1","100.0","False","False","","1.0","4.062","4.062","4.062","4.062"
"349.0","loop_add_fusion_74","48.0","0.0","128,1,1","4,1,1","83.33329772949219","False","False","","1.0","3.87","3.87","3.87","3.87"
"350.0","copy_fusion_15","16.0","0.0","128,1,1","56,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/jit(evaluate_thermo)/slice:","4.0","3.774","0.943","0.927","0.991"
"351.0","loop_add_divide_exponential_log_multiply_fusion_1","36.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","3.774","3.774","3.774","3.774"
"352.0","loop_slice_fusion_10","16.0","0.0","6,1,1","1,1,1","9.375","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/slice:","4.0","3.774","0.943","0.928","0.959"
"353.0","loop_add_fusion_71","20.0","0.0","128,1,1","128,1,1","100.0","False","False","","1.0","3.678","3.678","3.678","3.678"
"354.0","wrapped_slice","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","","5.0","3.615","0.723","0.703","0.768"
"355.0","loop_convert_divide_exponential_subtract_fusion","31.0","0.0","128,1,1","128,1,1","100.0","False","False","","1.0","3.583","3.583","3.583","3.583"
"356.0","loop_dynamic_update_slice_fusion_224","27.0","0.0","128,1,1","320,1,1","100.0","False","False","","1.0","3.583","3.583","3.583","3.583"
"357.0","loop_reduce_window_fusion_11","24.0","0.0","128,1,1","4,1,1","100.0","False","False","","3.0","3.549","1.183","1.183","1.183"
"358.0","void batch_FnrmA_stage1<double, double, 8>(long, long, double const*, unsigned long, long long, double*, long long, int)","40.0","2048.0","256,1,1","8,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/vmap(jit(eigh))/eigh:","1.0","3.518","3.518","3.518","3.518"
"359.0","copy_fusion_17","16.0","0.0","128,1,1","9,1,1","100.0","False","False","","4.0","3.454","0.863","0.799","0.959"
"360.0","loop_reduce_window_fusion_10","26.0","0.0","32,1,1","1,1,1","50.0","False","False","","3.0","3.264","1.088","1.088","1.088"
"361.0","loop_add_divide_minimum_fusion","32.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","3.263","3.263","3.263","3.263"
"362.0","input_reduce_fusion_42","34.0","33024.0","1024,1,1","3,1,1","66.66670227050781","False","False","","1.0","3.199","3.199","3.199","3.199"
"363.0","loop_dynamic_update_slice_fusion_227","29.0","0.0","128,1,1","320,1,1","100.0","False","False","","1.0","3.135","3.135","3.135","3.135"
"364.0","loop_dynamic_update_slice_fusion_232","16.0","0.0","128,1,1","320,1,1","100.0","False","False","","1.0","3.135","3.135","3.135","3.135"
"365.0","loop_clamp_fusion_2","22.0","0.0","128,1,1","64,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/jit(evaluate_thermo)/vmap(jit(<lambda>))/jit(clip)/min:","1.0","3.103","3.103","3.103","3.103"
"366.0","input_concatenate_fusion_30","32.0","0.0","52,1,1","1,1,1","81.25","False","False","","1.0","3.102","3.102","3.102","3.102"
"367.0","loop_dynamic_update_slice_fusion_234","16.0","0.0","128,1,1","320,1,1","100.0","False","False","","1.0","3.071","3.071","3.071","3.071"
"368.0","loop_dynamic_update_slice_fusion_226","29.0","0.0","128,1,1","320,1,1","100.0","False","False","","1.0","2.975","2.975","2.975","2.975"
"369.0","void batch_FnrmA_stage2<double, 8>(long, double*, long long, double*, int)","35.0","2048.0","256,1,1","1,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/vmap(jit(eigh))/eigh:","1.0","2.975","2.975","2.975","2.975"
"370.0","loop_divide_multiply_fusion_1","38.0","0.0","8,1,1","1,1,1","12.5","False","False","","1.0","2.878","2.878","2.878","2.878"
"371.0","loop_multiply_pad_slice_fusion_4","40.0","0.0","128,1,1","8,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/scatter:","1.0","2.623","2.623","2.623","2.623"
"372.0","loop_concatenate_fusion_6","40.0","0.0","128,1,1","8,1,1","100.0","False","False","","1.0","2.591","2.591","2.591","2.591"
"373.0","loop_pad_fusion_28","16.0","0.0","128,1,1","4,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/scatter:","3.0","2.591","0.863","0.831","0.896"
"374.0","wrapped_slice_9","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/slice:","3.0","2.496","0.832","0.832","0.832"
"375.0","input_concatenate_fusion_32","16.0","0.0","128,1,1","8,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/concatenate:","3.0","2.495","0.831","0.831","0.832"
"376.0","loop_multiply_pad_slice_fusion_1","29.0","0.0","128,1,1","3,1,1","100.0","False","False","","2.0","2.463","1.231","1.216","1.247"
"377.0","input_reduce_fusion_46","38.0","32.0","64,1,1","1,1,1","100.0","False","False","","1.0","2.303","2.303","2.303","2.303"
"378.0","loop_compare_fusion_82","18.0","0.0","128,1,1","640,1,1","100.0","False","False","","1.0","2.271","2.271","2.271","2.271"
